train_register,test_register,features,auc,acc,prec,rec,f1
academic,academic,all_11,0.9999999964041711,0.9999828599832028,1.0,0.9998801390387151,0.9999400659274797
academic,news,all_11,0.6516792920000001,0.52275,0.9592248687928946,0.04752,0.09055395697162566
academic,social,all_11,0.5354250048,0.52889,0.8300205620287868,0.07266,0.13362267135001932
academic,creative,all_11,0.47459134020000004,0.51591,0.8469254252071522,0.03884,0.07427380337712504
news,academic,all_11,0.863132511087139,0.6012717892463535,0.2552332830238205,0.9323984178353111,0.4007624739187553
news,news,all_11,1.0,0.99999,1.0,0.99998,0.999989999899999
news,social,all_11,0.7673676387999998,0.69739,0.72386417764874,0.63826,0.6783721449296928
news,creative,all_11,0.7879415747999998,0.68882,0.6487380659797712,0.82356,0.7257697798614661
social,academic,all_11,0.7979439230492629,0.5698027184066641,0.23921434352238063,0.9211314874745296,0.37979688156366603
social,news,all_11,0.8423944986,0.74908,0.7134507935419737,0.83254,0.7684086168386466
social,social,all_11,0.9999999998,0.99999,1.0,0.99998,0.999989999899999
social,creative,all_11,0.8290114202000001,0.73218,0.676278547133139,0.89074,0.7688337246236707
creative,academic,all_11,0.7053204926285508,0.633854961177862,0.24469545436718046,0.7478125374565504,0.36873522458628843
creative,news,all_11,0.7960244175999999,0.73226,0.7172034564021995,0.76692,0.7412290027641931
creative,social,all_11,0.6876396495999999,0.65471,0.8734250543084722,0.36186,0.5117160432722901
creative,creative,all_11,1.0,1.0,1.0,1.0,1.0
academic,academic,mtld,0.9957888565264293,0.9861337264110519,0.9853130636433909,0.9166966319069879,0.9497671530580565
academic,news,mtld,0.4625828478,0.49396,0.46838358458961477,0.08948,0.15025523911875335
academic,social,mtld,0.42777461820000007,0.48634,0.4266537800687285,0.07946,0.13396951712975452
academic,creative,mtld,0.4386945592,0.48326,0.4209034209034209,0.08908,0.14704037502888648
news,academic,mtld,0.506448061848256,0.5459438150249387,0.14373773066352571,0.4388109792640537,0.2165439328069086
news,news,mtld,0.9955652882,0.97903,0.9794231269641106,0.97862,0.9790213987734971
news,social,mtld,0.6805996938000001,0.62034,0.6448553132071838,0.53572,0.5852432869409425
news,creative,mtld,0.5918637698,0.55327,0.5521855835733459,0.56366,0.5578637951682024
social,academic,mtld,0.4940592748411843,0.5121437019008278,0.14117563133114566,0.4744096847656718,0.21759806481761457
social,news,mtld,0.6270152514,0.58671,0.5864937655860349,0.58796,0.5872259675405743
social,social,mtld,0.9663101784,0.9251,0.9697652831189497,0.87756,0.9213615269932596
social,creative,mtld,0.647839441,0.58908,0.5851267153396277,0.6123,0.598405035085319
creative,academic,mtld,0.4965490710775501,0.5142176439332911,0.14443693773779467,0.4868752247393024,0.22278286623155816
creative,news,mtld,0.5858894526,0.55066,0.551590696158703,0.54164,0.546570061958869
creative,social,mtld,0.6485721285999999,0.58957,0.5895825415558178,0.5895,0.5895412678887522
creative,creative,mtld,0.9946578638000001,0.97486,0.9759833206367026,0.97368,0.9748302997537094
academic,academic,sent_cv,0.9990894102840705,0.989544589753698,0.967816091954023,0.9587678293179911,0.9632707129094412
academic,news,sent_cv,0.6467951738000001,0.57227,0.8185103569854562,0.18572,0.30274676012714974
academic,social,sent_cv,0.5673001986000001,0.531,0.714325221238938,0.10332,0.1805283757338552
academic,creative,sent_cv,0.6907208377999999,0.5916,0.8839061190276614,0.2109,0.34054577749071535
news,academic,sent_cv,0.7075005633465181,0.32500899850881854,0.15359375,0.8247632746014623,0.2589616694578778
news,news,sent_cv,0.9913184934000001,0.98047,0.9719281013652883,0.98952,0.9806451612903225
news,social,sent_cv,0.6360288951999999,0.59876,0.6165997638724912,0.52226,0.5655224688684353
news,creative,sent_cv,0.7334710238,0.65871,0.6621177143557581,0.6482,0.6550849427482844
social,academic,sent_cv,0.5903992880258898,0.3048694787720892,0.1368565824183257,0.7275560349994007,0.23037801730681645
social,news,sent_cv,0.651065523,0.60766,0.6013824016875094,0.63862,0.6194420734073097
social,social,sent_cv,0.9808096664,0.94991,0.9367464616459898,0.96498,0.9506536495020048
social,creative,sent_cv,0.6771690208000001,0.61986,0.6136932766732432,0.64698,0.629897188254537
creative,academic,sent_cv,0.8164175260697591,0.3080746619131687,0.1615017122563734,0.9157377442167086,0.274578159535661
creative,news,sent_cv,0.7125512949999999,0.65947,0.6524249201888704,0.68258,0.6671618887509652
creative,social,sent_cv,0.6417549408000001,0.61009,0.6193387533875339,0.57134,0.594371911573472
creative,creative,sent_cv,0.986048367,0.96128,0.9430613185799908,0.98184,0.9620600454652348
academic,academic,self_mention_density,0.879655957089776,0.8926863548326277,0.7194350758853288,0.40908546086539616,0.5215863070222359
academic,news,self_mention_density,0.49805180539999994,0.51489,0.5897528631705847,0.09784,0.16783600651856934
academic,social,self_mention_density,0.3539756454,0.42748,0.37435897435897436,0.21608,0.2740045650519909
academic,creative,self_mention_density,0.5218573237999999,0.42589,0.2223720686296546,0.05936,0.0937060950005525
news,academic,self_mention_density,0.5686268512525471,0.5551137240114495,0.16135358584887521,0.5029365935514802,0.2443228135553744
news,news,self_mention_density,0.7540025612,0.6921,0.7311005245175882,0.60772,0.6637251261440336
news,social,self_mention_density,0.6134396462,0.56054,0.5498698474414313,0.66752,0.6030099911470849
news,creative,self_mention_density,0.3384986902,0.33353,0.32254557083466584,0.30258,0.31224395026056445
social,academic,self_mention_density,0.3298977010667626,0.3760005484805375,0.07879806682076067,0.31463502337288746,0.12603226425965047
social,news,self_mention_density,0.54464313,0.48803,0.4921763683185401,0.75302,0.5952774330231859
social,social,self_mention_density,0.7893160746000001,0.71715,0.7590732300937746,0.63624,0.6922499428782818
social,creative,self_mention_density,0.5318103632,0.61173,0.5725415849683811,0.88184,0.6943020683247908
creative,academic,self_mention_density,0.2884576938751049,0.4023104742642648,0.06929471359916872,0.2557832913819969,0.10904724188149927
creative,news,self_mention_density,0.44877229780000005,0.46305,0.4732838777782598,0.65458,0.5493609057262511
creative,social,self_mention_density,0.462575727,0.53647,0.6185091310846819,0.19034,0.2910976187927264
creative,creative,self_mention_density,0.8883387781999998,0.84021,0.8077765112450017,0.8929,0.8482079244601924
academic,academic,opener_ratio,0.7999251120699988,0.8721526147095624,0.6533657182512145,0.2256981900994846,0.3355011135857461
academic,news,opener_ratio,0.6204617164000001,0.51761,0.9174964438122333,0.0387,0.07426740102477498
academic,social,opener_ratio,0.5270608960000002,0.50897,0.7713248638838476,0.0255,0.04936789731477358
academic,creative,opener_ratio,0.5998263332,0.51057,0.879942487419123,0.02448,0.04763479986768111
news,academic,opener_ratio,0.7943816732590195,0.8461854892617795,0.47457080680261143,0.7057413400455471,0.5675180722891566
news,news,opener_ratio,0.6251540073999999,0.6139,0.8466220328667072,0.2782,0.4187866927592955
news,social,opener_ratio,0.5288104346,0.52781,0.6041651060004495,0.1613,0.2546212252758528
news,creative,opener_ratio,0.601901858,0.58746,0.7929002009377093,0.23676,0.3646388418296627
social,academic,opener_ratio,0.7952580270885775,0.8453799084723103,0.47278420038535646,0.705861201006832,0.5662772248665802
social,news,opener_ratio,0.6115639955999999,0.60778,0.8045320976491862,0.28474,0.42061569368943513
social,social,opener_ratio,0.5329173688000001,0.52974,0.6030634876628778,0.17402,0.2700999565406345
social,creative,opener_ratio,0.5826938414000001,0.57852,0.7268839574664817,0.25156,0.3737667894924522
creative,academic,opener_ratio,0.7841528407047825,0.845671288757863,0.47308412737193584,0.6962723241040393,0.5633789157210746
creative,news,opener_ratio,0.6221125154000001,0.61288,0.8484380787751574,0.27486,0.4152089186984501
creative,social,opener_ratio,0.526803004,0.52714,0.6036352527875363,0.15808,0.250546803182553
creative,creative,opener_ratio,0.6039133274,0.58892,0.8048128342245989,0.23478,0.36351531291611183
academic,academic,connector_density,0.7849087486515641,0.8624513652023379,0.6290584415584416,0.09289224499580487,0.1618798955613577
academic,news,connector_density,0.6569178036000001,0.51548,0.8596654275092936,0.037,0.07094646418162295
academic,social,connector_density,0.496932495,0.50532,0.7084639498432602,0.01808,0.03526016069896248
academic,creative,connector_density,0.6498616749999999,0.50772,0.7233796296296297,0.025,0.04832972471388803
news,academic,connector_density,0.699526080546566,0.5243473938604459,0.21084624553039333,0.8481361620520197,0.3377323819296948
news,news,connector_density,0.7647410082,0.72059,0.7675439660400243,0.63284,0.6937133461222252
news,social,connector_density,0.5356583496,0.52533,0.5329671759897961,0.4095,0.4631462275354287
news,creative,connector_density,0.6114581402,0.59454,0.6052596419346219,0.54362,0.5727862772369031
social,academic,connector_density,0.5586889739901715,0.6247364722417428,0.17807763576756783,0.44923888289584085,0.2550527390268799
social,news,connector_density,0.61828133,0.6323,0.7406504656577415,0.40718,0.5254749122444765
social,social,connector_density,0.5899404104000001,0.55832,0.6471983846542151,0.25642,0.36731127345652487
