train_register,test_register,features,auc,acc,prec,rec,f1
academic,academic,all_11,1.0,1.0,1.0,1.0,1.0
academic,news,all_11,0.708419836155891,0.5745751200404347,0.947351798629315,0.15792688063347654,0.2707232433359356
academic,social,all_11,0.6009767098905124,0.5763266802870763,0.7401862803684395,0.23521727172717272,0.35698987780820013
academic,creative,all_11,0.5389632366007999,0.5604300076671382,0.8553467106934214,0.1454596503353023,0.24863637622172385
news,academic,all_11,0.8603321641632716,0.6675857108607048,0.6014513788098694,0.9935267321985135,0.7492993400235061
news,news,all_11,0.9999999989882382,0.9999868376716368,0.9999842052891221,0.9999894701373094,0.999986837706286
news,social,all_11,0.704650536120216,0.6290943082403478,0.6181424295178539,0.6754446277961129,0.6455243670999952
news,creative,all_11,0.8256871995555263,0.7405051672192046,0.6993492718468327,0.843730764662052,0.7647853409291125
social,academic,all_11,0.7057084870526309,0.6677655238551906,0.6117543719556017,0.9183649005034764,0.734339803498682
social,news,all_11,0.7882867083635747,0.7135719400219022,0.700659879895923,0.7457459354730014,0.7225002167847506
social,social,all_11,0.9999999999571201,0.9999983629315312,1.0,0.9999967258630625,0.9999983629288512
social,creative,all_11,0.870349696769977,0.7840728702093884,0.7435109416077313,0.8673585089035992,0.8006738739277579
creative,academic,all_11,0.5653276502291369,0.5448933109566051,0.534685560803927,0.6920402781107649,0.6032708082971943
creative,news,all_11,0.7691955169209608,0.7026603698087777,0.6886878005499973,0.7396859994945666,0.7132764883725062
creative,social,all_11,0.6512718638493246,0.6252095447640003,0.8958717210823792,0.28335363298234584,0.43053434354991965
creative,creative,all_11,0.999999690973473,0.9999568048551343,0.9999784014946166,0.9999352072827015,0.9999568039222039
academic,academic,mtld,0.9958709544806559,0.979681131623112,0.9745049211431281,0.9851354591225125,0.9797913561847988
academic,news,mtld,0.44350527160963854,0.4759629559430545,0.4653532969576469,0.3228508550248505,0.3812202953600925
academic,social,mtld,0.40959956626186944,0.45790605846298915,0.44584388176767187,0.34654120173922154,0.3899701743300278
academic,creative,mtld,0.4115335546129868,0.459347969288252,0.44624523425340207,0.3374728680496312,0.38431078372296074
news,academic,mtld,0.502512740382225,0.4983816830496284,0.49798296727924696,0.3995444737473028,0.4433654805453941
news,news,mtld,0.990559840733893,0.9578278999241849,0.9504288910989558,0.9660411928228456,0.958171450056398
news,social,mtld,0.5939928053445322,0.5639357090470952,0.5768457339844872,0.4799360888469799,0.5239474780041355
news,creative,mtld,0.593183278544448,0.5607647700398475,0.5656393626204419,0.5236331436346555,0.5438262985829562
social,academic,mtld,0.49709438841480674,0.49820187005514266,0.49784668389319553,0.41572764325101896,0.4530964201724588
social,news,mtld,0.599451187521564,0.5697155884087272,0.5811441002543126,0.49929449919973046,0.5371190045338566
social,social,mtld,0.9605816466850339,0.8840006024411965,0.9180377536035587,0.8432899837602807,0.8790777842247176
social,creative,mtld,0.6568518955836835,0.6103365981663661,0.6179046607969166,0.5782426055311383,0.5974160725641798
creative,academic,mtld,0.508377370009417,0.5068328937904579,0.5074881765633211,0.4630783984655958,0.48426726839664036
creative,news,mtld,0.5749199849352179,0.547618671552523,0.5530037095857336,0.49681998146744166,0.5234084448450391
creative,social,mtld,0.6267618031497277,0.5829044213945204,0.5968172398235029,0.5110534863010111,0.5506157422595678
creative,creative,mtld,0.9928786995972594,0.9700441670356252,0.9754557668570929,0.9643532066995669,0.9698727138450844
academic,academic,sent_cv,0.9995669069020772,0.991608726923999,0.9874019491323984,0.9959242387916567,0.9916447839579852
academic,news,sent_cv,0.6978217206223759,0.6320865975907675,0.8011258611997983,0.35140784264173197,0.48852698993595606
academic,social,sent_cv,0.6186642587115408,0.5720342867620095,0.7399027347668687,0.22216656189428466,0.34172516946506454
academic,creative,sent_cv,0.7117628511648172,0.6385160307981382,0.8413070086743654,0.34143602259106076,0.4857395245227945
news,academic,sent_cv,0.7133323683335766,0.5955406377367538,0.5668287774610096,0.8103572284823783,0.6670613775409513
news,news,sent_cv,0.9943668948187033,0.9731119956195772,0.9670093234520679,0.9796457754190885,0.9732865355142093
news,social,sent_cv,0.627661247031866,0.586334079836555,0.6177317599153462,0.452989941851328,0.5226872184285836
news,creative,sent_cv,0.6923449533762811,0.630308953273652,0.6546416854623744,0.5516343962938566,0.5987400005860463
social,academic,sent_cv,0.652142342570296,0.5502877007911772,0.5373652801282622,0.7232078638216255,0.6165874597577802
social,news,sent_cv,0.6630165658633225,0.6199561957712072,0.6332054909847759,0.5702236542835482,0.6000664856778769
social,social,sent_cv,0.967518401650191,0.9094766619519095,0.8850706012032686,0.9411670333700036,0.9122572619111846
social,creative,sent_cv,0.6658254047241796,0.611643251298554,0.6269883188188619,0.5512240424176322,0.5866701912467819
creative,academic,sent_cv,0.7770580691501601,0.6011148405658115,0.563008889220886,0.903500359625989,0.6937272769110405
creative,news,sent_cv,0.7035079168689702,0.6580664013141269,0.6576306960480098,0.6594484457922669,0.6585383165482378
creative,social,sent_cv,0.6376707751444812,0.6024592042537588,0.6198474978074459,0.5299157891979674,0.5713645229332698
creative,creative,sent_cv,0.992221121875679,0.9536030150211117,0.9345734445157152,0.975497554074922,0.9545970907899672
academic,academic,self_mention_density,0.8527928149641658,0.7812275233756892,0.8091723774380601,0.7360345240949413,0.770872567482737
academic,news,self_mention_density,0.5272121422392887,0.5375126358352287,0.5845195729537367,0.2594294920394238,0.35936200936419727
academic,social,self_mention_density,0.42898235508678834,0.4806678584525119,0.4886375663666576,0.8313721253077688,0.6155101051419568
academic,creative,self_mention_density,0.2354634339499796,0.23471701780719847,0.17019305641328572,0.1368962128656739,0.15173949212695031
news,academic,self_mention_density,0.47667735073624606,0.4908894749460561,0.4921014342132613,0.5676096859266363,0.5271654419951013
news,news,self_mention_density,0.677218030612727,0.6352429239322719,0.6554848706789582,0.570149945244714,0.6098466823410157
news,social,self_mention_density,0.5771465888862704,0.5255300827701818,0.5194353952258345,0.6823235895018073,0.5898404387051124
news,creative,self_mention_density,0.337851674515552,0.3400051834173839,0.3248368485765629,0.29670745008261074,0.31013561943031936
social,academic,self_mention_density,0.2554957133720226,0.30088707743946297,0.27554054054054056,0.24442579717094223,0.2590522169991107
social,news,self_mention_density,0.46109192332251203,0.4690527335523545,0.47891028078962666,0.7027577710386657,0.5696319214765817
social,social,self_mention_density,0.7287835806225295,0.668767025512075,0.7079697076065862,0.574516082560637,0.6342993990330306
social,creative,self_mention_density,0.6829232090715928,0.6555673142338801,0.6100635657967117,0.8622830793818774,0.7145701616619908
creative,academic,self_mention_density,0.23232375610592507,0.2980700071925198,0.2656836834052024,0.22896187964516904,0.24595969351619343
creative,news,self_mention_density,0.4327812631619957,0.45940211439642825,0.4709951401531679,0.6592483784011457,0.5494440397728768
creative,social,self_mention_density,0.4548745063709,0.5267267798208393,0.6128639769930592,0.14512939389177013,0.23468431502316348
creative,creative,self_mention_density,0.8709204043944128,0.8161452652721835,0.7776028826095202,0.885565262464499,0.8280799543579568
academic,academic,opener_ratio,0.753333696705127,0.7344162071445697,0.7494578390100778,0.7042675617357947,0.726160311476423
academic,news,opener_ratio,0.6169046991535113,0.6093368292477466,0.8413042763698517,0.2695118355656642,0.40824301584643236
