feature,feature_label,importance_mean,importance_sd
sent_cv,Sentence Length CV,0.07905496678139513,0.000788659570855182
char_entropy,Char N-gram Entropy,0.06830154280210936,0.0007929893401951364
mtld,Lexical Diversity (MTLD),0.049947215399917935,0.0005519268748123637
mean_sent_len,Mean Sentence Length,0.048730786036818394,0.000854063026239266
rep_rate,Word Repetition Rate,0.040306661103918694,0.00044028360522573766
self_mention_density,Self-Mention Density,0.03148736054185487,0.0005232642335537025
punct_entropy,Punctuation Entropy,0.028643735829991513,0.0003159822921883528
hedge_density,Hedge Density,0.02003073276705931,0.0003412311285294325
connector_density,Connector Density,0.014060477706905855,0.0003023941241624548
opener_ratio,Sentence-Opener Connector Ratio,0.007316807840474976,0.00021213448689390052
boost_density,Booster Density,0.0036240005999558455,0.00011367755572725024
