feature,feature_label,importance_mean,importance_sd
sent_cv,Sentence Length CV,0.10688148386320347,0.0005615145398540152
mtld,Lexical Diversity (MTLD),0.07636485103688125,0.00042827502838546524
char_entropy,Char N-gram Entropy,0.0684097216859447,0.0003968495237674388
self_mention_density,Self-Mention Density,0.058798476286212195,0.00034203534830667953
hedge_density,Hedge Density,0.043584140251791706,0.00021403381751197305
mean_sent_len,Mean Sentence Length,0.040628903790184814,0.0002675876542063121
punct_entropy,Punctuation Entropy,0.033088873858588906,0.00019287085753603018
rep_rate,Word Repetition Rate,0.03133299373527908,0.00016097665388913353
connector_density,Connector Density,0.023832973137397757,0.00018370119303548656
boost_density,Booster Density,0.00906193694250409,0.00010789320851523205
opener_ratio,Sentence-Opener Connector Ratio,0.007188961019713641,6.00817801747661e-05
