source_model,detector,auc,accuracy
Gemma-2-9B,all,0.9009,0.768
Gemma-2-9B,academic,0.4914,0.5
Gemma-2-9B,news,0.9006,0.818
Gemma-2-9B,social,0.4555,0.478
Gemma-2-9B,creative,0.7451,0.7
GPT-4o,all,0.8678,0.71
GPT-4o,academic,0.6843,0.502
GPT-4o,news,0.8864,0.802
GPT-4o,social,0.5067,0.48
GPT-4o,creative,0.6191,0.588
Qwen-2-72B,all,0.9089,0.799
Qwen-2-72B,academic,0.5434,0.517
Qwen-2-72B,news,0.8789,0.779
Qwen-2-72B,social,0.6411,0.609
Qwen-2-72B,creative,0.8144,0.732
Yi-Large,all,0.8815,0.769
Yi-Large,academic,0.5098,0.505
Yi-Large,news,0.8448,0.742
Yi-Large,social,0.5165,0.49
Yi-Large,creative,0.772,0.724
Llama-8B,all,0.8824,0.75
Llama-8B,academic,0.6785,0.53
Llama-8B,news,0.8651,0.759
Llama-8B,social,0.4771,0.49
Llama-8B,creative,0.6716,0.622
Mistral-7B,all,0.9106,0.813
Mistral-7B,academic,0.4899,0.505
Mistral-7B,news,0.8876,0.791
Mistral-7B,social,0.5708,0.554
Mistral-7B,creative,0.7957,0.722
