register,model,n_ai,auc,acc,f1,cohens_d_sentcv,cohens_d_charent,auc_sd
academic,chatgpt,0,,,,,,
academic,cohere,0,,,,,,
academic,cohere-chat,0,,,,,,
academic,gpt-3.5-turbo,8343,0.9773399000000002,0.9221,0.9229428253660974,0.018080623664434473,-0.6963733760328066,0.0015295972476439654
academic,gpt2,0,,,,,,
academic,gpt3,0,,,,,,
academic,gpt4,0,,,,,,
academic,human,0,,,,,,
academic,llama-chat,0,,,,,,
academic,mistral,0,,,,,,
academic,mistral-chat,0,,,,,,
academic,mpt,0,,,,,,
academic,mpt-chat,0,,,,,,
news,chatgpt,26292,0.9951211000000001,0.9665999999999999,0.9665099857799551,-1.896060257851234,-0.5041033567382962,0.0008591344714303556
news,cohere,25959,0.9712357,0.9157,0.9168772216403243,-0.901078549232183,-0.558807859622717,0.003610043346000132
news,cohere-chat,21233,0.9693485,0.9097000000000002,0.9118363432603547,-1.042456214518213,-0.8035236649458991,0.0028906943802484786
news,gpt-3.5-turbo,0,,,,,,
news,gpt2,46386,0.9791337999999999,0.9227000000000001,0.923634707188624,-0.6858908370123312,-0.9726444028094242,0.0016450110516345866
news,gpt3,17629,0.9825847,0.9333000000000002,0.9339770634473373,-1.0083831924197713,-1.0585273739824932,0.0015478210038631628
news,gpt4,26804,0.9889759999999999,0.9494999999999999,0.9498146477777505,-1.2045598014572254,-0.3602617275348815,0.0005326627450835816
news,human,13792,0.9681177,0.9071000000000001,0.907575588552185,-0.8889060325925038,-0.30514032645546363,0.00232844984055917
news,llama-chat,53311,0.9876929000000001,0.9446999999999999,0.9454783395882373,-1.0922186532301683,-0.42487518434464383,0.0006514291519421016
news,mistral,45716,0.9813734000000001,0.9275,0.9281009108293802,-0.5985808764334906,-0.88487976210606,0.0028057467882900457
news,mistral-chat,48338,0.9866215,0.9422,0.942975409361158,-1.3129850402563772,-0.772262896207849,0.0008378828677088378
news,mpt,38155,0.9857663999999999,0.9344999999999999,0.9342584395941064,-0.3261579458921865,-0.884135252275532,0.0014184501542175943
news,mpt-chat,39756,0.9890551000000001,0.9458,0.9462448475203503,-1.0009031171171148,-0.6888085066465177,0.0014164335988672385
social,chatgpt,27317,0.9576022,0.8911999999999999,0.8914680123078199,-1.1463488431599167,-0.29851416395734953,0.0040268166285541375
social,cohere,27681,0.9208501,0.8484999999999999,0.8464053291955904,-0.4078164564775453,-0.036095266930786817,0.0032627044365066264
social,cohere-chat,26956,0.9163088,0.8372999999999999,0.8344994812783776,-0.6784264851655893,-0.4262197177560025,0.00752752903415188
social,gpt-3.5-turbo,0,,,,,,
social,gpt2,54945,0.9672436,0.9143000000000001,0.9129786291212547,-0.5840993004890177,-0.4196505016453666,0.00426264403158412
social,gpt3,23611,0.9736054999999999,0.9126000000000001,0.9127363171758116,-0.9167677278663832,-1.1811680732123888,0.0018650919548375967
social,gpt4,27504,0.9696536000000002,0.9061,0.9063691697148488,-0.8738901268416756,0.24810068935490615,0.0022854882060513895
social,human,13871,0.9693383000000001,0.9068999999999999,0.9092564909438055,-0.559230296615938,-0.21416373052310722,0.0036354807467514423
social,llama-chat,54863,0.9601386,0.8992999999999999,0.9000495301593301,-0.7546302639529716,0.23067191752658925,0.0050434874878400714
social,mistral,55787,0.9669328,0.9126,0.9103671116824138,-0.3522911179108413,-0.33111845481490254,0.002906211668134283
social,mistral-chat,52046,0.9527302000000001,0.8825,0.8816473102205983,-1.0832557872349098,-0.2829823163621752,0.005434432008959102
social,mpt,51631,0.9795056000000001,0.9409000000000001,0.9396706974431005,-0.28457806749661996,-0.346513813055729,0.0036230758672708393
social,mpt-chat,46042,0.9551004000000001,0.8843,0.8855837973858524,-0.9342899700792135,-0.9034926858248153,0.003583284434705152
creative,chatgpt,27136,0.9875983999999999,0.9522999999999999,0.9529262066431492,-1.822325166333771,-0.40617618855655657,0.003594478535198113
creative,cohere,26472,0.9749744,0.9295,0.93167484279956,-1.1455211543257304,-0.47527944735353744,0.004058396178295095
creative,cohere-chat,25100,0.9807229,0.9381,0.9392249715632037,-1.3739582820542162,-0.8620407911622608,0.0027872941968869846
creative,gpt-3.5-turbo,0,,,,,,
creative,gpt2,51206,0.9597572,0.8881,0.8879787405186963,-0.7047507950093777,-0.79564494586122,0.004663802907499419
creative,gpt3,17931,0.9927174000000001,0.9632999999999999,0.9637388122210844,-1.3877946898583347,-1.203950129182359,0.0009731414799503984
creative,gpt4,26999,0.9905508999999999,0.9553999999999998,0.9558290254210948,-1.7062379525717086,-0.25690373453817966,0.0028500225858754417
creative,human,13659,0.9298081,0.8892,0.8929082915478631,-0.9033674229393461,-0.19543468017621005,0.006533168705919027
creative,llama-chat,52463,0.9868784999999999,0.9484999999999999,0.9492556460443053,-1.5848172402009892,-0.29146903459943635,0.00322208455817037
creative,mistral,53491,0.9742630999999999,0.9132,0.9137673865277861,-0.6249007184684162,-0.4994817469008321,0.003988778552389153
creative,mistral-chat,52367,0.9869242999999999,0.9504999999999999,0.9512817843504523,-1.747680079088351,-0.5810079980128979,0.0026041338022459552
creative,mpt,49080,0.9828659,0.9358000000000001,0.93513971541586,-0.5612796383875395,-0.38960181942638933,0.0008909081546377442
creative,mpt-chat,46768,0.9935452,0.9616999999999999,0.9620361147948895,-1.2206844202885194,-0.7626838802330282,0.0020398139523005506
