feature,importance_mean
sent_cv,0.019619985439245737
mtld,0.015060882168789043
char_entropy,0.011056045000042047
rep_rate,0.009307339555762628
quote_density,0.004731214917019455
question_density,0.004537151073801821
capitalized_entity_density,0.004173583289283999
punct_entropy,0.003806573222019538
smog_index,0.003594985110782878
self_mention_density,0.003460468288101404
mean_sent_len,0.0025983982208489078
opener_ratio,0.0022925476753599848
flesch_reading_ease,0.0022495883879804944
preposition_density,0.0015906665382007523
adverb_density,0.001500459396120801
nominalization_density,0.001471935745927827
subordination_density,0.0014115492825220789
gunning_fog,0.0013954537261816225
passive_density,0.0012092357172814984
exclamation_density,0.0011916272330432741
