ai_model,auc,n_samples
gpt1,0.954188,1000
xlnet_large,0.923314,1000
xlm,0.838908,1000
transfo_xl,0.814238,1000
ctrl,0.76674,1000
xlnet_base,0.667084,1000
grover_base,0.615486,1000
grover_large,0.603648,1000
grover_mega,0.582838,1000
fair_wmt19,0.47546200000000005,1000
gpt3,0.38939199999999996,1000
fair_wmt20,0.22843000000000002,1000
gpt2_pytorch,0.20842885771543085,999
pplm_gpt2,0.194436,1000
gpt2_medium,0.157606,1000
gpt2_small,0.14502199999999998,1000
gpt2_xl,0.13878800000000002,1000
gpt2_large,0.137768,1000
pplm_distil,0.076456,1000
